start	end	text
141220	143300	who was the product manager for QuickTime,
144480	150760	masterful at marketing a technology
150760	153880	way beyond just him doing that.
154020	157340	He looked like an entire organization of 50 people.
157580	159080	You know, you had Richard Ford
159080	160880	who was handling all the network stuff.
160980	165600	And he was a master at running things through the system.
165600	168160	He could get them through the system very quickly.
168160	174380	and then there was Eric Zelenka who was the most one of the most amazing product managers i ever
174380	183780	met the guy took over Mac os 10 server and just turned that in from a raw lump of coal into this
183780	192060	fantastic thing he was consummate inside guy so being a product manager was like there was only
192060	196400	a handful there was like maybe 10 of us in the company at the time so you're at this meeting
198360	200320	And Steve, at this point, is he wielding?
200320	200520	Product manager.
200660	200840	Product.
201260	201440	Yeah.
201760	204160	Is Steve, at this point, wielding an axe?
204520	207620	Well, Steve had started wielding the axe since he got there.
207720	210060	I mean, every day you would hear people fall off the roof.
210200	210920	It'd be like, ah!
211740	212120	Splop!
212260	212520	Ah!
213120	213380	Splop!
213560	214640	All day long.
214980	216400	Not literally, but okay.
216540	219920	He would work his way through, you know, it was the cluster of buildings.
219920	221000	But it needed to be done.
221240	221500	Yeah.
222140	225040	And the first time I met Steve, we got in a fight.
225260	227080	Well, this is the story I heard.
228160	236960	he didn't think much of what you were up to uh no it wasn't that he didn't think much of what
236960	244560	uh you needed to justify your existence yeah so Steve basically fired our vice president in front
244560	252740	of us and you know called all the product marketing into into town hall and our vp says goodbye and
252740	259000	And then Steve starts, you know, raving on us, telling us that we didn't know what you're doing.
259000	260360	You're screwing the company up.
260399	261279	You don't know your idiots.
261279	264540	It was easier when we were 100 times better than Windows.
264680	266720	But now that we're not, you don't know what to do.
267180	272200	And so I said to him, the first words I ever said to Steve were, no, you're wrong.
272820	276740	And he turns, spins around, and he looks at me, and he goes, and you are?
276900	277840	This is in Town Hall.
277940	278280	In Town Hall.
278280	279200	In front of everybody else.
279400	279460	Yeah.
279700	282580	You stood up and said, no, you're wrong to Steve Jobs.
282740	289280	Yeah. My first words to Steve were, no, you're wrong. And he spins around and looks at me and
289280	294460	says, and you are? I said, I'm Sal Sugoi I'm the AppleScript products manager. No,
294580	299000	you're wrong. My technology is many times better than Windows. And he goes, well, that's not what
299000	305040	they've been telling me. And then we just, we went at it in front of everybody. I look over
305040	310720	and there's my boss, like Peter Lowe, looking at me commit employee seppuku in front of everybody.
310720	312220	Well, what's your choice, right?
312560	316260	You either save, you convince him this is a great product,
316260	318500	or you're not going to be working there anyway.
318980	321500	So what Steve was doing, it turns out,
321560	323180	so we fought for a couple minutes,
323280	324980	and then he goes on to something else.
324980	325780	What's he saying, and what are you saying?
325880	326740	Give me an example.
327260	330360	Well, he said, you know, nobody's using this stuff.
330400	331720	And I said, that's absolutely wrong.
331720	333640	I said, all the companies are depending on this.
333760	334440	We use this.
334540	338260	All of our big customers, small customers use this.
338380	339780	And he goes, well, that's not what I've heard.
340720	346520	lying to you and so you know we just we just went at it but that's what you but you know what i bet
346520	352440	you he i guarantee you that's exactly what he wanted from you it was what he was looking for
352440	360920	he was being like this on purpose to see who in the room who believes pushed back on him yeah and
360920	366820	you know after that did you know that or did you see red what was it that gave you permission to
366820	373060	say Steve you're wrong well i figured it this way you know Apple asked me to join i might be a dog
373060	379420	on my square yard of dirt but you know i know every piece of that square yard and you're on my
379420	383480	square yard of dirt and I'm gonna bite your leg off and i know what i'm talking about and i know
383480	388420	what I'm talking about and he was wrong and you need to hear this and you need to hear this and
388420	396020	so he went on to something else and then he tested somebody else and i figured out oh he's testing
396940	403300	who he has to work with and everybody that fought him back stayed and the rest of the people left
403300	410860	right basically is how it worked and so after that he liked me yeah yeah and i would too so but
410860	413800	you want guys what are going to tell you the truth you don't want some schmuckers going to
413800	421320	tell you what you want to hear yeah and steve got automation very quickly did he oh absolutely Steve
421320	429300	was a ally and an advocate of automation he didn't necessarily understand all the different details
429300	434700	about writing the code and everything but he understood its importance and its role and why
434700	441800	it was necessary for customers to have that option and while he was there we got resources that we
441800	447920	needed consistently he made sure that we had the resources we needed to advance the technology with
447920	452160	each system release yes and did it got better and better it got better and
452160	452440	better
